date,pmer,cod_tend,dd,ff,td,u,pres,rafper,rr1,rr3,temp_celsius
2021-01-01 00:00:00,100830,1,340,1.7,270.75,96,99920,3.3,0.0,0.0,-1.7999999999999545
2021-01-01 03:00:00,100910,3,10,1.9,270.85,91,100010,3.5,0.0,0.0,-1.0
2021-01-01 06:00:00,100960,2,240,1.4,271.55,92,100060,2.4,0.0,0.0,-0.5
2021-01-01 09:00:00,101100,2,200,0.9,272.95,97,100200,1.7,0.0,0.0,0.20000000000004547
2021-01-01 12:00:00,101140,0,150,1.1,271.95,72,100250,1.9,0.2,0.2,3.400000000000034
2021-01-01 15:00:00,101160,3,260,0.8,272.05,73,100270,1.5,0.0,0.0,3.3000000000000114
2021-01-01 18:00:00,101250,2,170,0.9,272.25,87,100350,1.4,0.0,0.0,1.0
2021-01-01 21:00:00,101370,2,150,1.5,271.95,94,100460,2.3,0.0,0.0,-0.39999999999997726
2021-01-02 00:00:00,101420,1,170,1.3,271.35,98,100510,2.5,0.0,0.0,-1.5
2021-01-02 03:00:00,101460,2,150,1.6,271.75,99,100550,2.4,0.0,0.0,-1.2999999999999545
2021-01-02 06:00:00,101450,5,150,1.5,271.55,97,100540,2.5,0.0,0.0,-1.1999999999999886
2021-01-02 09:00:00,101550,3,200,0.9,273.15,97,100640,2.4,0.0,0.0,0.4000000000000341
2021-01-02 12:00:00,101460,8,280,1.1,276.65,96,100570,2.4,0.0,0.0,4.100000000000023
2021-01-02 15:00:00,101410,6,350,1.8,277.35,92,100520,4.1,0.0,0.0,5.400000000000034
2021-01-02 18:00:00,101440,2,350,1.1,276.85,98,100550,1.9,0.0,0.2,4.0
2021-01-02 21:00:00,101440,8,160,0.9,276.05,99,100540,1.6,0.0,0.0,3.0
2021-01-03 00:00:00,101460,0,100,0.6,275.95,100,100560,1.2,0.0,0.8,2.8000000000000114
2021-01-03 03:00:00,101450,8,80,1.4,275.55,100,100550,3.0,0.0,0.0,2.400000000000034
2021-01-03 06:00:00,101430,6,290,0.5,274.45,100,100530,1.0,0.0,0.0,1.3000000000000114
2021-01-03 09:00:00,101530,3,50,0.5,275.45,100,100630,2.5,0.0,0.0,2.3000000000000114
2021-01-03 12:00:00,101560,0,70,3.2,276.05,99,100660,5.2,0.0,0.0,3.0
2021-01-03 15:00:00,101550,6,30,2.2,275.65,94,100650,3.1,0.0,-0.1,3.400000000000034
2021-01-03 18:00:00,101600,3,10,2.6,275.05,94,100700,4.0,0.0,0.0,2.8000000000000114
2021-01-03 21:00:00,101670,3,40,3.6,273.65,86,100770,6.6,0.0,0.0,2.6000000000000227
2021-01-04 00:00:00,101630,6,40,4.1,273.55,86,100730,7.4,0.0,0.0,2.5
2021-01-04 03:00:00,101580,7,20,2.4,273.55,88,100680,6.6,0.0,0.0,2.2000000000000455
2021-01-04 06:00:00,101490,7,20,2.9,274.55,96,100590,5.2,-0.1,-0.1,2.0
